DRE;CODESC;TIPOESC;NOMES;DESLOC;CEU;DIRETORIA;SUBPREF;ENDERECO;NUMERO;BAIRRO;CEP;TEL1;TEL2;FAX;SITUACAO;DISTRITO;CDIST;SETOR;CODINEP;CD_CIE;EH;FX_ETARIA;DT_CRIACAO;ATO_CRIACAO;DOM_CRIACAO;DT_INI_CONV;DT_AUTORIZA;DT_EXTINCAO;NOME_ANT;REDE;LATITUDE;LONGITUDE;DATABASE
SM;92126;EMEI;JOSE VICENTE DA CUNHA, PROF.;JOSE VICENTE DA CUNHA, PROF.;;SAO MATEUS;SAO MATEUS;RUA SÃO JOÃO DO PARAÍSO;281;JARDIM IMPERADOR ZONA LESTE;3934000;27213214;27214293;27213214;Ativa;SAO MATEUS;73;7309;35085546;1680138;1,63000e+14;;14/12/1981;0;14/12/1981;;01/08/1982;;JARDIM IV CENTENARIO;DIR;-23591116;-46499705;31/12/2024
IQ;92134;EMEI;OLANDYA PERES RIBEIRO, PROFA.;OLANDYA PERES RIBEIRO, PROFA.;;ITAQUERA;ARICANDUVA/FORMOSA/CARRAO;RUA MARIANO CURSINO DE MOURA;395;PARQUE MARIA LUIZA;3451000;27831220;27830893;;Ativa;ARICANDUVA;4;402;35084268;1676169;1,63000e+14;;24/12/1980;17101;24/12/1980;;;;PARQUE MARIA LUIZA;DIR;-23558179;-46516344;31/12/2024
IQ;92142;EMEI;SUZANA EVANGELINA FELIPPE, PROFA.;SUZANA EVANGELINA FELIPPE, PROFA.;;ITAQUERA;ARICANDUVA/FORMOSA/CARRAO;PRACA HAROLDO DALTRO;NA;VILA NOVA MANCHESTER;3444090;20978698;29411368;;Ativa;CARRAO;20;2001;35052462;1676179;1,63000e+14;;;;;;18/09/1985;;VILA NOVA MANCHESTER - PI 38;DIR;-23548038;-46531563;31/12/2024
PE;92151;EMEI;ELDY POLI BIFONE, PROFA.;ELDY POLI BIFONE, PROFA.;;PENHA;MOOCA;AVENIDA ARISTON AZEVEDO;134;CATUMBI;3021020;22921933;;;Criada;BELEM;8;803;35051585;1674160;1,63000e+14;;;;;;30/07/1985;;CATUMBI - PI 6;DIR;-23528392;-46600868;31/12/2024
JT;92169;EMEI;ANCHIETA, PE.;ANCHIETA, PE.;;JACANA/TREMEMBE;VILA MARIA/VILA GUILHERME;RUA MARIA CANDIDA;1592;VILA GUILHERME;2071002;29093661;29092266;;Ativa;VILA GUILHERME;86;8601;35052565;1669161;1,63000e+14;;;;;;30/07/1985;;VILA GUILHERME - PI 20;DIR;-23507442;-46600064;31/12/2024
JT;92177;EMEI;LOURENCO FILHO, PROF.;LOURENCO FILHO, PROF.;;JACANA/TREMEMBE;VILA MARIA/VILA GUILHERME;RUA DOM LUIS FELIPE DE ORLEANS;1062;VILA MARIA BAIXA;2118001;2954-4860;;;Ativa;VILA MARIA;89;8905;35052620;1669183;1,63000e+14;;03/04/1975;11918;03/04/1975;;30/07/1985;;;DIR;-23519243;-46587115;31/12/2024
JT;92185;EMEI;ANA NERI;ANA NERI;;JACANA/TREMEMBE;VILA MARIA/VILA GUILHERME;RUA SOLDADO ALBINO CESAR;25;PARQUE NOVO MUNDO;2180010;29540558;;;Ativa;VILA MARIA;89;8903;35052590;1669166;1,63000e+14;;03/04/1975;11919;03/04/1975;;30/07/1985;;;DIR;-23521742;-46566306;31/12/2024
JT;92193;EMEI;YUKIO OZAKI, PROF.;YUKIO OZAKI, PROF.;;JACANA/TREMEMBE;VILA MARIA/VILA GUILHERME;PRACA YEDO;30;VILA MARIA ALTA;2134050;22010316;22122821;;Ativa;VILA MARIA;89;8906;35052619;1669186;1,63000e+14;;;;;;18/09/1985;;JARDIM JAPAO - PI 71;DIR;-23499747;-46575053;31/12/2024
JT;92207;EMEI;CARLOS GOMES;CARLOS GOMES;;JACANA/TREMEMBE;VILA MARIA/VILA GUILHERME;PRACA PRESIDENTE JÂNIO DA SILVA QUADROS;316;JARDIM JAPÃO;2132000;29316779;29823111;;Ativa;VILA MARIA;89;8906;35052607;1669169;1,63000e+14;;;;;;19/03/1986;;JARDIM JAPAO NOVO - PI 107;DIR;-23500476;-46583089;31/12/2024
JT;92215;EMEI;EDUARDO CARLOS PEREIRA;EDUARDO CARLOS PEREIRA;;JACANA/TREMEMBE;VILA MARIA/VILA GUILHERME;RUA ANDRÉ DA FONSECA;40;JARDIM JAPÃO;2135010;29544340;;29546177;Ativa;VILA MARIA;89;8906;35052589;1669175;1,63000e+14;;;;;;19/03/1986;;ALTO DE VILA MARIA;DIR;-23500611;-46591369;31/12/2024
JT;92223;EMEI;MARIA ISABEL PACHECO DE ALMEIDA RIBEIRO;MARIA ISABEL PACHECO DE ALMEIDA RIBEIRO;;JACANA/TREMEMBE;VILA MARIA/VILA GUILHERME;RUA FRANCISCO FRANCO MACHADO;160;VILA SABRINA;2139020;22018166;22010303;;Ativa;VILA MEDEIROS;92;9202;35052541;1669198;1,63000e+14;;;;;;19/03/1986;;VILA SABRINA - PI 104;DIR;-23492475;-46572753;31/12/2024
